event_id,user_id,task_id,session_id,event_time,event_name,suggestion_id,prompt_group
e_000001,u_0001,t_00001,s_00001,2026-06-13T14:55,visit_product,,B
e_000002,u_0001,t_00001,s_00001,2026-06-13T14:56,upload_resume,,B
e_000003,u_0002,t_00002,s_00002,2026-05-28T10:50,visit_product,,B
e_000004,u_0002,t_00002,s_00002,2026-05-28T10:51,upload_resume,,B
e_000005,u_0002,t_00002,s_00002,2026-05-28T10:52,upload_jd,,B
e_000006,u_0002,t_00002,s_00002,2026-05-28T10:53,generate_suggestion,,B
e_000007,u_0002,t_00002,s_00002,2026-05-28T10:55,adopt_suggestion,sg_c7150ddfd1,B
e_000008,u_0002,t_00002,s_00002,2026-05-28T10:56,adopt_suggestion,sg_e3c1602c25,B
e_000009,u_0002,t_00002,s_00002,2026-05-28T10:57,adopt_suggestion,sg_693640639c,B
e_000010,u_0002,t_00002,s_00002,2026-05-28T10:58,adopt_suggestion,sg_85a83d6cbb,B
e_000011,u_0002,t_00002,s_00002,2026-05-28T10:59,adopt_suggestion,sg_107c9bfc5e,B
e_000012,u_0002,t_00002,s_00002,2026-05-28T10:55,reject_suggestion,sg_aa882558ed,B
e_000013,u_0003,t_00003,s_00003,2026-05-04T07:31,visit_product,,B
e_000014,u_0003,t_00003,s_00003,2026-05-04T07:32,upload_resume,,B
e_000015,u_0003,t_00003,s_00003,2026-05-04T07:33,upload_jd,,B
e_000016,u_0003,t_00003,s_00003,2026-05-04T07:34,generate_suggestion,,B
e_000017,u_0003,t_00003,s_00003,2026-05-04T07:36,adopt_suggestion,sg_716217f283,B
e_000018,u_0003,t_00003,s_00003,2026-05-04T07:36,reject_suggestion,sg_9d2efe87c7,B
e_000019,u_0003,t_00003,s_00003,2026-05-04T07:37,adopt_suggestion,sg_e63fe37613,B
e_000020,u_0003,t_00003,s_00003,2026-05-04T07:41,export_report,,B
e_000021,u_0004,t_00004,s_00004,2026-06-07T02:00,visit_product,,A
e_000022,u_0004,t_00004,s_00004,2026-06-07T02:01,upload_resume,,A
e_000023,u_0004,t_00004,s_00004,2026-06-07T02:02,upload_jd,,A
e_000024,u_0004,t_00004,s_00004,2026-06-07T02:03,generate_suggestion,,A
e_000025,u_0004,t_00004,s_00004,2026-06-07T02:05,reject_suggestion,sg_55e56e2741,A
e_000026,u_0004,t_00004,s_00004,2026-06-07T02:05,adopt_suggestion,sg_e536b402d4,A
e_000027,u_0004,t_00004,s_00004,2026-06-07T02:06,adopt_suggestion,sg_4ef094f426,A
