feedback_id,user_id,task_id,usefulness_score,trust_score,ease_of_use_score,comment
fb_00001,u_0003,t_00003,5,4,4,建议更具体时更愿意采纳
fb_00002,u_0009,t_00011,3,4,5,建议更具体时更愿意采纳
fb_00003,u_0011,t_00015,5,2,4,建议更具体时更愿意采纳
fb_00004,u_0012,t_00016,3,3,4,建议更具体时更愿意采纳
fb_00005,u_0021,t_00026,3,3,3,建议更具体时更愿意采纳
fb_00006,u_0025,t_00033,3,5,4,建议更具体时更愿意采纳
fb_00007,u_0031,t_00040,4,4,4,建议更具体时更愿意采纳
fb_00008,u_0034,t_00043,4,5,3,建议更具体时更愿意采纳
fb_00009,u_0052,t_00068,4,3,5,建议更具体时更愿意采纳
fb_00010,u_0055,t_00071,4,2,5,建议更具体时更愿意采纳
fb_00011,u_0057,t_00076,5,5,5,建议更具体时更愿意采纳
fb_00012,u_0060,t_00080,4,5,3,建议更具体时更愿意采纳
fb_00013,u_0060,t_00081,5,3,4,建议更具体时更愿意采纳
fb_00014,u_0061,t_00083,5,2,5,建议更具体时更愿意采纳
fb_00015,u_0065,t_00087,5,2,3,建议更具体时更愿意采纳
fb_00016,u_0077,t_00102,5,3,5,建议更具体时更愿意采纳
fb_00017,u_0079,t_00104,5,4,4,建议更具体时更愿意采纳
fb_00018,u_0084,t_00111,5,4,3,建议更具体时更愿意采纳
fb_00019,u_0087,t_00117,5,5,3,建议更具体时更愿意采纳
fb_00020,u_0098,t_00132,3,2,4,建议更具体时更愿意采纳
fb_00021,u_0099,t_00134,5,3,5,建议更具体时更愿意采纳
fb_00022,u_0101,t_00137,4,4,5,建议更具体时更愿意采纳
fb_00023,u_0106,t_00142,3,5,3,建议更具体时更愿意采纳
fb_00024,u_0114,t_00154,3,3,4,建议更具体时更愿意采纳
fb_00025,u_0131,t_00176,3,4,4,建议更具体时更愿意采纳
fb_00026,u_0145,t_00195,4,5,4,建议更具体时更愿意采纳
fb_00027,u_0146,t_00199,4,2,4,建议更具体时更愿意采纳
fb_00028,u_0154,t_00207,5,3,5,建议更具体时更愿意采纳
fb_00029,u_0157,t_00212,4,4,5,建议更具体时更愿意采纳
fb_00030,u_0159,t_00215,3,5,5,建议更具体时更愿意采纳
fb_00031,u_0163,t_00223,5,5,3,建议更具体时更愿意采纳
fb_00032,u_0164,t_00224,4,4,4,建议更具体时更愿意采纳
fb_00033,u_0183,t_00252,5,4,4,建议更具体时更愿意采纳
fb_00034,u_0186,t_00259,3,3,4,建议更具体时更愿意采纳
fb_00035,u_0200,t_00274,3,3,4,建议更具体时更愿意采纳
fb_00036,u_0202,t_00277,4,4,5,建议更具体时更愿意采纳
fb_00037,u_0207,t_00286,5,4,4,建议更具体时更愿意采纳
fb_00038,u_0212,t_00294,4,3,4,建议更具体时更愿意采纳
fb_00039,u_0225,t_00312,3,4,4,建议更具体时更愿意采纳
fb_00040,u_0237,t_00327,3,5,5,建议更具体时更愿意采纳
fb_00041,u_0247,t_00339,3,5,3,建议更具体时更愿意采纳
fb_00042,u_0255,t_00350,4,5,4,建议更具体时更愿意采纳
fb_00043,u_0258,t_00355,4,2,5,建议更具体时更愿意采纳
fb_00044,u_0269,t_00370,3,2,4,建议更具体时更愿意采纳
fb_00045,u_0281,t_00389,5,5,3,建议更具体时更愿意采纳
fb_00046,u_0286,t_00397,3,3,4,希望看到更多修改前后对比
fb_00047,u_0287,t_00399,3,4,3,建议更具体时更愿意采纳
fb_00048,u_0293,t_00407,3,5,5,希望看到更多修改前后对比
fb_00049,u_0309,t_00435,4,3,3,建议更具体时更愿意采纳
fb_00050,u_0324,t_00455,4,4,3,建议更具体时更愿意采纳
fb_00051,u_0330,t_00463,3,2,5,建议更具体时更愿意采纳
fb_00052,u_0343,t_00480,5,4,4,建议更具体时更愿意采纳
fb_00053,u_0362,t_00506,5,4,4,建议更具体时更愿意采纳
fb_00054,u_0373,t_00521,5,5,5,建议更具体时更愿意采纳
fb_00055,u_0380,t_00530,3,4,4,建议更具体时更愿意采纳
fb_00056,u_0382,t_00534,4,2,3,建议更具体时更愿意采纳
fb_00057,u_0383,t_00536,5,3,4,建议更具体时更愿意采纳
fb_00058,u_0389,t_00544,5,5,5,建议更具体时更愿意采纳
fb_00059,u_0390,t_00547,4,3,3,建议更具体时更愿意采纳
fb_00060,u_0406,t_00566,4,4,3,建议更具体时更愿意采纳
fb_00061,u_0416,t_00586,4,3,4,建议更具体时更愿意采纳
fb_00062,u_0421,t_00594,3,3,4,建议更具体时更愿意采纳
fb_00063,u_0421,t_00595,5,5,3,建议更具体时更愿意采纳
fb_00064,u_0450,t_00633,5,4,3,建议更具体时更愿意采纳
fb_00065,u_0465,t_00651,3,4,3,建议更具体时更愿意采纳
fb_00066,u_0474,t_00665,4,3,3,建议更具体时更愿意采纳
fb_00067,u_0478,t_00671,3,4,5,建议更具体时更愿意采纳
fb_00068,u_0479,t_00673,5,4,4,建议更具体时更愿意采纳
fb_00069,u_0484,t_00679,3,2,3,建议更具体时更愿意采纳
fb_00070,u_0485,t_00681,3,3,5,建议更具体时更愿意采纳
fb_00071,u_0492,t_00690,3,4,3,建议更具体时更愿意采纳
fb_00072,u_0496,t_00694,4,3,3,建议更具体时更愿意采纳
fb_00073,u_0498,t_00698,5,4,3,建议更具体时更愿意采纳
fb_00074,u_0514,t_00717,4,5,4,建议更具体时更愿意采纳
fb_00075,u_0520,t_00724,5,2,5,建议更具体时更愿意采纳
fb_00076,u_0523,t_00728,3,4,3,建议更具体时更愿意采纳
fb_00077,u_0525,t_00732,3,4,3,建议更具体时更愿意采纳
fb_00078,u_0527,t_00734,4,3,3,建议更具体时更愿意采纳
fb_00079,u_0528,t_00735,3,3,3,建议更具体时更愿意采纳
fb_00080,u_0531,t_00738,5,3,3,建议更具体时更愿意采纳
fb_00081,u_0552,t_00767,4,3,4,建议更具体时更愿意采纳
fb_00082,u_0555,t_00770,4,3,4,建议更具体时更愿意采纳
fb_00083,u_0564,t_00782,5,3,3,建议更具体时更愿意采纳
fb_00084,u_0568,t_00788,4,2,5,建议更具体时更愿意采纳
fb_00085,u_0572,t_00793,5,4,4,建议更具体时更愿意采纳
fb_00086,u_0578,t_00800,3,3,5,建议更具体时更愿意采纳
fb_00087,u_0588,t_00815,5,4,4,建议更具体时更愿意采纳
fb_00088,u_0593,t_00821,3,3,5,建议更具体时更愿意采纳
fb_00089,u_0618,t_00855,5,4,3,建议更具体时更愿意采纳
fb_00090,u_0626,t_00867,4,4,5,建议更具体时更愿意采纳
fb_00091,u_0629,t_00871,3,4,3,建议更具体时更愿意采纳
fb_00092,u_0631,t_00874,4,3,4,建议更具体时更愿意采纳
fb_00093,u_0634,t_00877,4,5,4,建议更具体时更愿意采纳
fb_00094,u_0639,t_00884,4,2,5,建议更具体时更愿意采纳
fb_00095,u_0641,t_00887,3,5,3,建议更具体时更愿意采纳
fb_00096,u_0644,t_00893,5,4,5,建议更具体时更愿意采纳
fb_00097,u_0653,t_00904,5,4,3,建议更具体时更愿意采纳
fb_00098,u_0658,t_00909,4,2,4,希望看到更多修改前后对比
fb_00099,u_0662,t_00915,5,4,3,建议更具体时更愿意采纳
fb_00100,u_0665,t_00920,4,5,3,建议更具体时更愿意采纳
fb_00101,u_0683,t_00946,5,5,5,建议更具体时更愿意采纳
fb_00102,u_0685,t_00951,5,3,4,建议更具体时更愿意采纳
fb_00103,u_0686,t_00952,4,5,4,建议更具体时更愿意采纳
fb_00104,u_0700,t_00971,3,3,5,建议更具体时更愿意采纳
fb_00105,u_0702,t_00973,5,3,4,建议更具体时更愿意采纳
fb_00106,u_0723,t_01001,3,3,5,建议更具体时更愿意采纳
fb_00107,u_0736,t_01021,3,3,5,建议更具体时更愿意采纳
fb_00108,u_0741,t_01030,2,3,3,希望看到更多修改前后对比
fb_00109,u_0747,t_01039,5,4,3,建议更具体时更愿意采纳
fb_00110,u_0752,t_01045,3,5,5,建议更具体时更愿意采纳
fb_00111,u_0753,t_01046,4,5,5,建议更具体时更愿意采纳
fb_00112,u_0754,t_01047,5,3,3,建议更具体时更愿意采纳
fb_00113,u_0756,t_01049,4,4,4,建议更具体时更愿意采纳
fb_00114,u_0757,t_01051,4,3,5,建议更具体时更愿意采纳
fb_00115,u_0762,t_01059,4,3,4,建议更具体时更愿意采纳
fb_00116,u_0762,t_01060,4,4,5,建议更具体时更愿意采纳
fb_00117,u_0767,t_01066,3,4,4,建议更具体时更愿意采纳
fb_00118,u_0773,t_01073,5,2,5,建议更具体时更愿意采纳
fb_00119,u_0776,t_01076,3,2,4,建议更具体时更愿意采纳
fb_00120,u_0783,t_01084,5,5,4,建议更具体时更愿意采纳
fb_00121,u_0786,t_01089,5,4,5,建议更具体时更愿意采纳
fb_00122,u_0791,t_01095,4,3,3,建议更具体时更愿意采纳
fb_00123,u_0794,t_01100,4,3,5,建议更具体时更愿意采纳
fb_00124,u_0800,t_01110,3,4,5,建议更具体时更愿意采纳
fb_00125,u_0801,t_01112,2,5,5,希望看到更多修改前后对比
fb_00126,u_0806,t_01119,3,3,5,建议更具体时更愿意采纳
fb_00127,u_0814,t_01129,3,4,5,建议更具体时更愿意采纳
fb_00128,u_0816,t_01131,3,2,3,建议更具体时更愿意采纳
fb_00129,u_0833,t_01159,4,2,4,建议更具体时更愿意采纳
fb_00130,u_0836,t_01162,4,4,3,建议更具体时更愿意采纳
fb_00131,u_0839,t_01166,4,4,4,建议更具体时更愿意采纳
fb_00132,u_0852,t_01183,5,3,4,建议更具体时更愿意采纳
fb_00133,u_0859,t_01191,4,3,4,建议更具体时更愿意采纳
fb_00134,u_0868,t_01205,3,4,3,建议更具体时更愿意采纳
fb_00135,u_0870,t_01207,3,4,5,希望看到更多修改前后对比
fb_00136,u_0877,t_01218,4,3,5,建议更具体时更愿意采纳
fb_00137,u_0879,t_01220,4,4,3,建议更具体时更愿意采纳
fb_00138,u_0880,t_01223,5,3,3,建议更具体时更愿意采纳
fb_00139,u_0887,t_01231,4,3,3,建议更具体时更愿意采纳
fb_00140,u_0890,t_01235,5,5,5,建议更具体时更愿意采纳
fb_00141,u_0892,t_01239,3,4,3,建议更具体时更愿意采纳
fb_00142,u_0896,t_01243,5,5,3,建议更具体时更愿意采纳
fb_00143,u_0898,t_01247,3,4,3,建议更具体时更愿意采纳
